epoch,accuracy,loss,val_accuracy,val_loss
0,0.9220296740531921,0.2141946703195572,1.0,0.0002440758398734033
1,1.0,0.00011907089356100187,1.0,4.890348282060586e-05
2,1.0,2.6504872948862612e-05,1.0,3.026803460670635e-05
3,1.0,1.6939249690040015e-05,1.0,2.225051139248535e-05
4,1.0,1.3296858924150001e-05,1.0,1.6582520402153023e-05
5,1.0,9.76788669504458e-06,1.0,1.609221362741664e-05
6,1.0,8.417421668127645e-06,1.0,1.3645490980707109e-05
7,1.0,6.895440492371563e-06,1.0,1.1720342627086211e-05
8,1.0,5.4434581215900835e-06,1.0,9.94136917142896e-06
9,1.0,4.738697043649154e-06,1.0,9.072563443623949e-06
